,name,x,y,width,height
78,117_2i4Ly-hB5rY,0.491875,0.787500,0.098750,0.211667
79,117_2i4Ly-hB5rY,0.600000,0.784167,0.102500,0.131667
80,117_2i4Ly-hB5rY,0.713750,0.665833,0.100000,0.205000
81,118_ooKU3s1k04I,0.425806,0.292812,0.296774,0.441860
82,119_gkCWGoKbqoI,0.394737,0.492991,0.214035,0.551402
83,119_gkCWGoKbqoI,0.206140,0.594626,0.205263,0.292056
84,119_gkCWGoKbqoI,0.603509,0.478972,0.231579,0.434579
85,119_gkCWGoKbqoI,0.834211,0.487150,0.180702,0.390187
86,119_gkCWGoKbqoI,0.672807,0.225467,0.373684,0.287383
87,119_gkCWGoKbqoI,0.278070,0.408879,0.401754,0.654206
88,120_xn0MqTQCVVQ,0.622000,0.758562,0.145333,0.236301
89,120_xn0MqTQCVVQ,0.232667,0.645548,0.236000,0.332192
90,120_xn0MqTQCVVQ,0.534667,0.398973,0.338667,0.664384
91,120_xn0MqTQCVVQ,0.792000,0.671233,0.184000,0.284247
92,121_0mE3kiyOk4k,0.590625,0.496667,0.311250,0.860000
93,122_nns1AETCIvI,0.405318,0.561321,0.421530,0.639623
94,123_tvmDJsDVm9M,0.236250,0.605066,0.367500,0.500938
95,123_tvmDJsDVm9M,0.543125,0.466229,0.351250,0.707317
96,123_tvmDJsDVm9M,0.736250,0.715760,0.155000,0.264540
97,124_e0q5vyJcNJ4,0.488750,0.498124,0.372500,0.583490
98,126_3SeJ18AOnG0,0.291935,0.325806,0.261290,0.518280
99,126_3SeJ18AOnG0,0.687903,0.594624,0.188710,0.243011
100,127_8zUj5hjIlxE,0.362500,0.520000,0.368333,0.447500
101,127_8zUj5hjIlxE,0.695833,0.381875,0.511667,0.713750
102,128_m_r16iUGQU8,0.395294,0.424875,0.310588,0.592654
103,128_m_r16iUGQU8,0.617647,0.405676,0.345882,0.694491
104,129_ZbQNXa3mIxc,0.262695,0.479833,0.292969,0.614743
105,129_ZbQNXa3mIxc,0.576172,0.578581,0.246094,0.623088
106,130_A2S1-BmH6QU,0.539515,0.625333,0.204426,0.554667
107,130_A2S1-BmH6QU,0.388830,0.530000,0.539515,0.812000
108,131_dvJEzL2mKmA,0.402083,0.459361,0.306250,0.637155
109,132_ODEnFrF0brU,0.316901,0.340000,0.375587,0.446667
110,132_ODEnFrF0brU,0.704225,0.351667,0.394366,0.580000
111,133_s1N6U_Jr3Ek,0.770175,0.501082,0.235088,0.564935
112,133_s1N6U_Jr3Ek,0.368421,0.403680,0.596491,0.647186
113,134_pHlxNUf1rxA,0.371053,0.355140,0.257895,0.495327
114,134_pHlxNUf1rxA,0.214035,0.586449,0.259649,0.336449
115,134_pHlxNUf1rxA,0.685965,0.304907,0.277193,0.507009
116,136_bt7HeOPdPNM,0.493437,0.501643,0.789992,0.823658
117,137_CzgKuYZU4bU,0.460938,0.404948,0.347656,0.554688
118,138_kCA0Zae2KX0,0.444554,0.430282,0.710891,0.502817
119,138_kCA0Zae2KX0,0.783663,0.750704,0.224752,0.323944
120,139_2tM1nrJmAeY,0.495833,0.371875,0.986111,0.689583
121,140_2tM1nrJmAeY,0.490278,0.368750,0.975000,0.708333
122,141_zaaLqAyIHuQ,0.721925,0.544580,0.342246,0.554196
123,141_zaaLqAyIHuQ,0.329545,0.594406,0.450535,0.622378
124,142_TeTFlLDEyW4,0.455000,0.567333,0.408000,0.622667
125,143_ZpRWUcr7GhA,0.453000,0.493333,0.390000,0.712000
126,144_FnkvkEdRMr0,0.488710,0.478261,0.725806,0.686957
127,145_2JCprUI2Ugw,0.354980,0.386765,0.291992,0.370588
128,145_2JCprUI2Ugw,0.189941,0.613971,0.264648,0.398529
129,145_2JCprUI2Ugw,0.692383,0.461029,0.158203,0.316176
130,145_2JCprUI2Ugw,0.770020,0.338235,0.250977,0.370588
131,146_x3Qp5rS5MZE,0.550000,0.523217,0.587059,0.615257
132,147_EzbQeY40dWI,0.659668,0.510870,0.504883,0.548593
133,147_EzbQeY40dWI,0.328125,0.620205,0.443359,0.488491
134,148_7J03jWy2i2o,0.589516,0.453782,0.617742,0.680672
135,148_7J03jWy2i2o,0.312903,0.574580,0.487097,0.611345
136,149_Ds_gUDd4fwU,0.348636,0.516371,0.450000,0.620737
137,150_vJrbkDOJ-OE,0.548125,0.499062,0.403750,0.727955
138,151__VpdnEpa1iQ,0.554500,0.218891,0.395000,0.410795
139,151__VpdnEpa1iQ,0.566000,0.586957,0.236000,0.298351
140,151__VpdnEpa1iQ,0.250000,0.498501,0.490000,0.685157
141,151__VpdnEpa1iQ,0.775000,0.494003,0.322000,0.466267
142,151__VpdnEpa1iQ,0.882500,0.763868,0.193000,0.424288
143,152_pQYGF50KIPM,0.608333,0.543333,0.693333,0.753333
144,153_dwDBJQHGwfQ,0.637500,0.474444,0.571667,0.700000
145,154_6AS7bFfGizo,0.562954,0.540909,0.714286,0.638182
146,155_7it3egb3-Eo,0.622500,0.448889,0.625000,0.786667
147,156_FSY4lXLnMTI,0.283293,0.693636,0.392252,0.325455
148,156_FSY4lXLnMTI,0.734867,0.652727,0.399516,0.283636
149,156_FSY4lXLnMTI,0.578692,0.316364,0.644068,0.418182
150,157_9lP2v8GCyOo,0.492736,0.520909,0.704600,0.707273
151,158_0QC3al4WduA,0.428750,0.649167,0.685000,0.501667
152,158_0QC3al4WduA,0.680000,0.365833,0.320000,0.658333
153,159_majDHo2IG8U,0.563194,0.530000,0.606944,0.906667
154,160_2Xs6Ueh19D4,0.320000,0.498099,0.402857,0.650190
155,160_2Xs6Ueh19D4,0.162857,0.781369,0.282857,0.387833
156,160_2Xs6Ueh19D4,0.699286,0.262357,0.435714,0.509506
157,161_n8NbNSHDNfw,0.572500,0.443327,0.537500,0.791590
158,163_cEfYJWEPsEk,0.570625,0.485401,0.693750,0.901460
159,164_cpkguKW_7t0,0.281875,0.767225,0.173750,0.357542
160,164_cpkguKW_7t0,0.650625,0.462756,0.496250,0.851024
161,165_PU6GbkbSE7c,0.554375,0.496234,0.263750,0.574388
162,168_uHq2DOs-uRU,0.516250,0.548964,0.897500,0.879473
163,169_ODaDqR_tlG0,0.261875,0.574388,0.413750,0.723164
164,169_ODaDqR_tlG0,0.682500,0.513183,0.417500,0.766478
165,169_ODaDqR_tlG0,0.826250,0.767420,0.162500,0.318267
166,170_O1_AhAV1eX0,0.276613,0.605495,0.440323,0.670330
167,170_O1_AhAV1eX0,0.665323,0.568132,0.356452,0.639560
168,171_6GMgYtjBa8k,0.253226,0.611670,0.487097,0.422535
169,171_6GMgYtjBa8k,0.691129,0.565392,0.450000,0.571429
170,172_S4suJ8aV3sk,0.525000,0.535340,0.484000,0.675393
171,173_jqvVZF8AWxg,0.543860,0.608911,0.350877,0.470297
172,173_jqvVZF8AWxg,0.339474,0.252475,0.363158,0.391089
173,173_jqvVZF8AWxg,0.781579,0.340347,0.349123,0.527228
174,175_wCfYH50cXu8,0.259748,0.657500,0.416352,0.378333
175,175_wCfYH50cXu8,0.780503,0.449167,0.330818,0.498333
176,175_wCfYH50cXu8,0.438365,0.381667,0.270440,0.373333
177,178_fvFcYlYlcfM,0.493490,0.560833,0.820312,0.861667
178,179_RbmCj9-8HMY,0.499375,0.514388,0.783750,0.971223
179,181_tBFIwVV_zjc,0.221471,0.484167,0.349850,0.595000
180,181_tBFIwVV_zjc,0.624625,0.549167,0.411411,0.671667
181,182_2JQK-uii3ww,0.263464,0.584167,0.294032,0.591667
182,182_2JQK-uii3ww,0.627365,0.581667,0.410480,0.463333
183,183_sNlSQ7f5IOI,0.477752,0.592500,0.946136,0.715000
184,184_Z7jNpTPD0k4,0.466429,0.508571,0.395714,0.704762
185,185_uxcTXMPmwbU,0.545385,0.521516,0.247692,0.784836
186,187_blMidgkJ38s,0.316875,0.391621,0.406250,0.648452
187,187_blMidgkJ38s,0.713125,0.538251,0.408750,0.785064
188,188_n0jGSehZKs8,0.212500,0.474088,0.320000,0.798464
189,188_n0jGSehZKs8,0.673750,0.428023,0.577500,0.775432
190,189_n1JBZcy3yYU,0.490625,0.516275,0.863750,0.934901
191,192_uQQGhgvOkTI,0.419375,0.531716,0.348750,0.649254
192,192_uQQGhgvOkTI,0.678125,0.451493,0.341250,0.750000
193,193_TpNkWLiA89s,0.415323,0.756696,0.156452,0.299107
194,193_TpNkWLiA89s,0.724194,0.671875,0.216129,0.459821
195,193_TpNkWLiA89s,0.475000,0.529018,0.269355,0.638393
196,193_TpNkWLiA89s,0.666935,0.353795,0.262903,0.497768
197,194__2kBAgeqxZc,0.441053,0.479635,0.366316,0.577247
198,195_qhTkyn4W2i4,0.156111,0.476884,0.270000,0.323630
199,195_qhTkyn4W2i4,0.437222,0.446062,0.287778,0.351027
200,195_qhTkyn4W2i4,0.857778,0.591610,0.208889,0.330479
201,195_qhTkyn4W2i4,0.726111,0.336473,0.276667,0.145548
202,196_UxO_ncDz12g,0.373333,0.470833,0.522222,0.781667
203,197_HqC0QLqAEQE,0.308333,0.468750,0.452083,0.743750
204,197_HqC0QLqAEQE,0.692708,0.542969,0.347917,0.629687
205,198_1jXidDpMgCc,0.510000,0.699167,0.290000,0.495000
206,198_1jXidDpMgCc,0.288750,0.581667,0.355000,0.716667
207,198_1jXidDpMgCc,0.651250,0.293333,0.587500,0.490000
208,199_xLQym5R86Ck,0.457647,0.505766,0.400000,0.612850
209,200_TxKjeWjZk_o,0.617647,0.479407,0.360000,0.649094
210,201_mQDCjtxhHpU,0.420000,0.511609,0.430588,0.757877
211,201_mQDCjtxhHpU,0.222353,0.700663,0.195294,0.339967
212,202_V5Eb9BOUT8g,0.324707,0.472182,0.385742,0.774524
213,203_703LlYSFUPw,0.520175,0.469626,0.661404,0.803738
214,204_peguA8iS6jA,0.775879,0.605769,0.250977,0.489011
215,204_peguA8iS6jA,0.458984,0.456731,0.378906,0.671703
216,205_zZ6gIsdgSug,0.436842,0.456683,0.533333,0.735149
217,206_n4eSrPprkrU,0.686250,0.635000,0.447500,0.603333
218,206_n4eSrPprkrU,0.379375,0.480000,0.611250,0.663333
219,207_WIWWScgSlkI,0.566875,0.558566,0.598750,0.648601
220,208_EvpNOUGmeVI,0.501809,0.575000,0.557298,0.670000
221,209_PwTyFmH7hmU,0.336667,0.546667,0.348889,0.603333
222,209_PwTyFmH7hmU,0.687778,0.465000,0.513333,0.693333
223,210_gkyUO9f3ly4,0.668457,0.543243,0.452148,0.645946
224,211_57YWPrTVmaA,0.233887,0.681507,0.288086,0.376712
225,211_57YWPrTVmaA,0.456055,0.565068,0.550781,0.645205
226,212_FiQaXKH5K-Y,0.579288,0.454741,0.588997,0.672414
227,213_t3zSqinP9r8,0.355000,0.477954,0.462500,0.620811
228,214_aOaQ6xtg4P4,0.391228,0.423077,0.722807,0.696970
229,214_aOaQ6xtg4P4,0.858772,0.687646,0.212281,0.251748
230,215_XXWsMnFz1MI,0.705556,0.690833,0.206667,0.351667
231,215_XXWsMnFz1MI,0.506111,0.517500,0.378889,0.595000
232,215_XXWsMnFz1MI,0.729444,0.288333,0.305556,0.460000
233,216_9Rv2HDVZxBM,0.723333,0.475000,0.417778,0.680000
234,217_tvBg2PMmxcY,0.579825,0.439356,0.643860,0.750000
235,218_l5GEnWUJZwA,0.551270,0.472656,0.684570,0.822917
236,219_d2on0Kw19Ds,0.412109,0.442708,0.642578,0.734375
237,220_t9u6p8CzrrA,0.587097,0.466184,0.467742,0.816425
238,222_b60U_PS4ZA8,0.290000,0.576667,0.270000,0.413333
239,222_b60U_PS4ZA8,0.391875,0.247500,0.258750,0.351667
240,222_b60U_PS4ZA8,0.663125,0.430833,0.313750,0.558333
241,223__mBlQYSWYPs,0.466060,0.540833,0.852649,0.815000
242,224_03NWg8CtBMI,0.517073,0.549167,0.943089,0.871667
243,225_DzbrDuclIuM,0.344375,0.502517,0.521250,0.451342
244,225_DzbrDuclIuM,0.679375,0.417785,0.301250,0.406040
245,225_DzbrDuclIuM,0.374375,0.402685,0.131250,0.167785
246,225_DzbrDuclIuM,0.791250,0.684564,0.315000,0.345638
247,226_zzTeEGVX8nY,0.120625,0.561667,0.203750,0.296667
248,226_zzTeEGVX8nY,0.541250,0.346667,0.105000,0.263333
249,227_Nvix-ulQirU,0.453333,0.495560,0.424000,0.753108
250,228_tMOtKcj4aR0,0.502467,0.505000,0.929276,0.990000
251,229_AAkARuMGR0c,0.595000,0.548023,0.262500,0.369115
252,230_u5t5kr-WWnM,0.226875,0.719601,0.181250,0.310345
253,230_u5t5kr-WWnM,0.451875,0.712341,0.116250,0.194192
254,230_u5t5kr-WWnM,0.315625,0.393829,0.256250,0.344828
255,230_u5t5kr-WWnM,0.680000,0.432849,0.430000,0.724138
256,231_GrW4eRdqorw,0.571875,0.560833,0.228750,0.425000
257,231_GrW4eRdqorw,0.838750,0.348333,0.242500,0.436667
258,231_GrW4eRdqorw,0.163750,0.779167,0.222500,0.311667
259,231_GrW4eRdqorw,0.794375,0.665833,0.176250,0.238333
260,232_uf0w_ZrhBKo,0.786875,0.431942,0.331250,0.696915
261,232_uf0w_ZrhBKo,0.486250,0.514519,0.252500,0.506352
262,232_uf0w_ZrhBKo,0.290625,0.575318,0.261250,0.457350
263,233_3oi38iV4qoI,0.517500,0.473750,0.767500,0.795000
264,234_tvIF77mHJtk,0.583333,0.548011,0.566667,0.681756
265,235_bazDRtARyiQ,0.472581,0.700903,0.187097,0.322799
266,235_bazDRtARyiQ,0.612903,0.484199,0.432258,0.801354
267,236_ijeoCeaNF_o,0.392982,0.586634,0.364912,0.663366
268,237_Q61usiVH5VI,0.536290,0.489842,0.614516,0.663657
269,237_Q61usiVH5VI,0.314516,0.707675,0.280645,0.354402
270,238_7M5xzSG_g_A,0.625000,0.517885,0.412222,0.590980
271,239_m__Mvvi_6yk,0.653809,0.461433,0.243164,0.440771
272,239_m__Mvvi_6yk,0.415039,0.448347,0.345703,0.753444
273,240_6MwHQ8jRclQ,0.631836,0.624631,0.191406,0.367257
274,240_6MwHQ8jRclQ,0.380371,0.501475,0.416992,0.764012
275,240_6MwHQ8jRclQ,0.736328,0.480826,0.347656,0.563422
276,241_Xy4iaf0VmhU,0.486290,0.432403,0.614516,0.783262
277,242_FWoMHkut6RA,0.457031,0.450952,0.550781,0.805271
278,244_ma5coGLzCAI,0.221429,0.666156,0.259184,0.349158
279,244_ma5coGLzCAI,0.605612,0.635528,0.278571,0.428790
280,245_hJy0oklu5jA,0.388776,0.620980,0.304082,0.488515
281,245_hJy0oklu5jA,0.649490,0.520674,0.315306,0.499234
282,246_jjcCE5DjnqY,0.668421,0.445093,0.522807,0.726636
283,246_jjcCE5DjnqY,0.276316,0.521028,0.356140,0.612150
284,247_9r8NU-jgURc,0.232500,0.785833,0.227500,0.288333
285,247_9r8NU-jgURc,0.306875,0.444167,0.283750,0.491667
286,247_9r8NU-jgURc,0.738750,0.537500,0.197500,0.358333
287,247_9r8NU-jgURc,0.578750,0.185833,0.202500,0.268333
288,248_5CUQZLoSvAg,0.216250,0.639167,0.267500,0.601667
289,248_5CUQZLoSvAg,0.779375,0.400833,0.281250,0.568333
290,248_5CUQZLoSvAg,0.402500,0.430833,0.442500,0.688333
291,249_XxacKBo_EaA,0.450000,0.658333,0.162500,0.436667
292,249_XxacKBo_EaA,0.631250,0.694167,0.237500,0.501667
293,249_XxacKBo_EaA,0.305625,0.460000,0.463750,0.713333
294,250_3NlCICZ965Q,0.575195,0.465593,0.410156,0.822840
295,250_3NlCICZ965Q,0.237793,0.434114,0.325195,0.639824
296,251_1DCOAfvBqaY,0.518478,0.646880,0.163043,0.395738
297,251_1DCOAfvBqaY,0.653804,0.798326,0.144565,0.235921
298,251_1DCOAfvBqaY,0.291304,0.439117,0.371739,0.652968
299,252_INxlZ7q85YY,0.632500,0.639775,0.185000,0.330206
300,252_INxlZ7q85YY,0.449375,0.472795,0.271250,0.510319
301,253_hz9IqQwnb8U,0.270625,0.407129,0.406250,0.604128
302,253_hz9IqQwnb8U,0.694375,0.508443,0.448750,0.622889
303,254_Lyi3XcTltRs,0.691875,0.367500,0.448750,0.555000
304,254_Lyi3XcTltRs,0.217500,0.534167,0.400000,0.421667
305,255_qt0LFhyRc8Q,0.433689,0.516667,0.785061,0.703333
306,256__n8PSgVr-QE,0.718571,0.269892,0.340000,0.423656
307,256__n8PSgVr-QE,0.392143,0.515054,0.312857,0.617204
308,256__n8PSgVr-QE,0.319286,0.753763,0.250000,0.372043
309,257_0Y-ps1j9VEk,0.767500,0.456848,0.360000,0.508443
310,257_0Y-ps1j9VEk,0.438125,0.450281,0.446250,0.502814
311,258_iVrDFvgMhok,0.361250,0.340000,0.405000,0.376667
312,258_iVrDFvgMhok,0.743125,0.430000,0.181250,0.360000
313,259_9T0Qtn43WXg,0.749534,0.529167,0.456238,0.365000
314,259_9T0Qtn43WXg,0.310056,0.635000,0.541899,0.496667
315,259_9T0Qtn43WXg,0.642458,0.177500,0.670391,0.271667
316,260_a1K1Us5cId8,0.330625,0.328333,0.501250,0.510000
317,260_a1K1Us5cId8,0.773750,0.513333,0.417500,0.610000
318,261_LulVv0CfACo,0.690000,0.565498,0.387500,0.525830
319,261_LulVv0CfACo,0.312500,0.429889,0.367500,0.553506
320,265_tideK8k1jOI,0.702500,0.364991,0.425000,0.618250
321,265_tideK8k1jOI,0.230000,0.544693,0.350000,0.441341
322,266_1lFPzGUJdrw,0.787500,0.249583,0.195000,0.342237
323,266_1lFPzGUJdrw,0.524375,0.278798,0.181250,0.213689
324,266_1lFPzGUJdrw,0.225625,0.525042,0.256250,0.338898
325,266_1lFPzGUJdrw,0.660625,0.588481,0.183750,0.205342
326,266_1lFPzGUJdrw,0.491250,0.641068,0.192500,0.176962
327,267_Jv9rb_uZxxM,0.528125,0.460821,0.398750,0.701493
328,271_w0Jb2wQrGt0,0.483933,0.493124,0.592545,0.813360
329,275_7Btu-l8JJMI,0.320000,0.572500,0.252500,0.448333
330,275_7Btu-l8JJMI,0.761875,0.628333,0.316250,0.390000
331,275_7Btu-l8JJMI,0.540625,0.446667,0.316250,0.670000
332,276_ocxtV23MhIA,0.800000,0.572097,0.197500,0.365169
333,276_ocxtV23MhIA,0.213750,0.750936,0.130000,0.205993
334,276_ocxtV23MhIA,0.365625,0.751873,0.191250,0.297753
335,276_ocxtV23MhIA,0.332500,0.467228,0.150000,0.275281
336,276_ocxtV23MhIA,0.622500,0.558989,0.155000,0.241573
337,277_MLz33rvkjns,0.628750,0.469925,0.492500,0.665414
338,278_Gd8mvBroW-s,0.140625,0.612500,0.246250,0.298333
339,278_Gd8mvBroW-s,0.869375,0.653333,0.243750,0.356667
340,278_Gd8mvBroW-s,0.547500,0.760000,0.200000,0.313333
341,278_Gd8mvBroW-s,0.352500,0.772500,0.137500,0.165000
342,279_MhfzSjZX5Ao,0.400000,0.400568,0.492500,0.630682
343,279_MhfzSjZX5Ao,0.755625,0.446970,0.283750,0.416667
344,280_kmvGIrteUEU,0.640625,0.395182,0.525391,0.696615
345,281_Q5bHYdDE47Q,0.603226,0.645609,0.367742,0.382126
346,281_Q5bHYdDE47Q,0.483065,0.466102,0.650000,0.756549
347,283_A61Fv-WuOIQ,0.513125,0.452500,0.416250,0.445000
348,284_hjYnEPCzZWs,0.555664,0.462891,0.300781,0.537760
349,285_2zaiJ1_oGf8,0.596774,0.455617,0.378065,0.714286
350,286_akbOrg8qrWc,0.591500,0.509321,0.301000,0.707057
351,287_nflyt_jq5IQ,0.393333,0.442361,0.630000,0.656944
352,288_tJd9lZItwSA,0.580000,0.510000,0.483333,0.650000
353,289_TTSC8zs9Hzk,0.592353,0.449843,0.368235,0.749216
354,290_8VTdQ2j5LL0,0.350000,0.439614,0.238710,0.685990
355,291_8IJ4_ANpJLg,0.612903,0.489247,0.674194,0.737634
356,292_GciqVEs_46I,0.383333,0.436296,0.513333,0.597037
357,293_dNPHr77cY9Q,0.445556,0.480741,0.728889,0.674074
358,294_2MH5IclFTkQ,0.654785,0.375000,0.305664,0.575521
359,295_dBUNob5ge3Q,0.668333,0.490044,0.500000,0.705752
360,296_sKFU2MHCmQI,0.335625,0.490833,0.228750,0.321667
361,296_sKFU2MHCmQI,0.573125,0.435000,0.236250,0.696667
362,297_X6yQvbI0slA,0.253333,0.392500,0.233333,0.375000
363,297_X6yQvbI0slA,0.458889,0.376667,0.173333,0.323333
364,297_X6yQvbI0slA,0.622222,0.351667,0.162222,0.296667
365,298_f5C-JbwTo0Q,0.583333,0.422500,0.215556,0.511667
366,299_FFeLIm-TGZ4,0.541176,0.463333,0.588235,0.723333
367,300_FjwdNtuiLXY,0.615789,0.500000,0.466667,0.577836
368,301_arWVKBAl1xg,0.275000,0.567114,0.255000,0.426174
369,301_arWVKBAl1xg,0.763125,0.584732,0.243750,0.374161
370,302_Gf0S1p3fwHM,0.417500,0.336773,0.237500,0.493433
371,302_Gf0S1p3fwHM,0.686250,0.323640,0.160000,0.429644
372,302_Gf0S1p3fwHM,0.266250,0.694184,0.300000,0.397749
373,303_db7f-9_bQu0,0.481238,0.398750,0.493433,0.610000
374,304_fF9sgw_cuPo,0.280625,0.275510,0.286250,0.532468
375,304_fF9sgw_cuPo,0.766250,0.437848,0.360000,0.549165
376,305_uyXmLi1H0fI,0.513750,0.371667,0.310000,0.563333
377,306_Z1m0PLRjbtY,0.489375,0.551667,0.138750,0.380000
378,306_Z1m0PLRjbtY,0.353125,0.224167,0.198750,0.338333
379,306_Z1m0PLRjbtY,0.591250,0.230000,0.225000,0.263333
380,307_7PkD7Snt3M4,0.399375,0.410833,0.228750,0.288333
381,307_7PkD7Snt3M4,0.199375,0.716667,0.228750,0.200000
382,307_7PkD7Snt3M4,0.733750,0.359167,0.322500,0.568333
383,307_7PkD7Snt3M4,0.196250,0.380000,0.177500,0.363333
384,308__NXKtKZut8s,0.417749,0.308333,0.396825,0.446667
385,309_9rNvapDNCmo,0.567669,0.426667,0.478697,0.686667
386,310_MelvWtn-ASU,0.343125,0.408240,0.328750,0.550562
387,311_2j4GDhdBJsg,0.547500,0.537182,0.710000,0.906067
388,313_0tcd9AUVjCc,0.486875,0.343072,0.511250,0.582638
389,314_KUKHK-K8pQI,0.611875,0.370833,0.268750,0.595000
