,file,min_x,min_y,max_x,max_y
126,0088_Ri2wrCUkgys,138,204,507,204
127,0089_tBtYjytb6ns,304,107,704,107
128,0090_PCyZBE7zH28,187,123,573,123
129,0090_PCyZBE7zH28,576,264,781,264
130,0091_To4lpASkfXQ,238,253,504,253
131,0091_To4lpASkfXQ,481,214,764,214
132,0091_To4lpASkfXQ,284,129,552,129
133,0092_pGMk6yFw-kw,52,274,354,274
134,0092_pGMk6yFw-kw,354,421,485,421
135,0092_pGMk6yFw-kw,526,202,814,202
136,0092_pGMk6yFw-kw,341,86,649,86
137,0092_pGMk6yFw-kw,434,347,561,347
138,0093_BcWRNVZriMY,335,132,659,132
139,0095_qKqQfY7wenA,138,293,460,293
140,0095_qKqQfY7wenA,503,204,845,204
141,0096_Np7KnMh3WDQ,57,182,328,182
142,0096_Np7KnMh3WDQ,272,67,533,67
143,0097_ZPB1mcu8tOc,93,86,403,86
144,0098_zOyknhIZVgE,118,36,539,36
145,0099_qRz-LupYgtg,329,129,803,129
146,0100_Um24DDdxtxY,85,62,579,62
147,0101_GsKAgZD9HIA,189,115,608,115
148,0102_FpIO3f_Y888,99,154,403,154
149,0102_FpIO3f_Y888,363,52,748,52
150,0103_3NNH1EH89NY,51,67,432,67
151,0104_4HrnusRXpKM,55,266,279,266
152,0104_4HrnusRXpKM,214,54,642,54
153,0106_s46O47lshpI,366,189,765,189
154,0107_D7n2K3JZWIo,162,99,565,99
155,0108_AoE07pNPcog,285,125,713,125
156,0108_AoE07pNPcog,274,506,450,506
157,0109_zylRIq0DoaE,141,132,737,132
158,0109_zylRIq0DoaE,647,330,904,330
159,0110_A_F3PAXmwBw,85,68,577,68
160,0111_A2YhkB2bWPE,113,185,636,185
161,0112_s0d_HuRINsw,151,116,542,116
162,0112_s0d_HuRINsw,550,213,753,213
163,0113_9I4znSuwbrU,367,114,1030,114
164,0114_j5d1etOdlCA,181,113,703,113
165,0115_W35Mv9Obdxs,184,128,872,128
166,0116_P-Imfr0iMu0,335,291,820,291
167,0117_uT3TmoQaHT4,147,229,569,229
168,0118_p6E03VNSElY,300,206,619,206
169,0118_p6E03VNSElY,527,299,906,299
170,0119_X2EFkFvU5Kw,159,84,750,84
171,0120_zZg14KWl8EI,312,95,630,95
172,0121_c9HLMovkOg4,122,45,500,45
173,0122_7fSYQvikj6E,87,74,592,74
174,0123_TVTDzyTyp3k,60,89,661,89
175,0124_VX2iosIF2sY,148,102,600,102
176,0125_YI8kqRyzqos,97,98,592,98
177,0126_WQnnrTznXdA,103,101,622,101
178,0127_QHKOMqX9AIM,269,140,725,140
179,0128_yb8nhb_xP2s,120,86,608,86
180,0129_inYDb-Uh30c,108,214,516,214
181,0129_inYDb-Uh30c,380,58,814,58
182,0130_d_hm9Z21U04,38,51,588,51
183,0130_d_hm9Z21U04,592,204,937,204
184,0131_F4u26xQUsGY,30,204,353,204
185,0131_F4u26xQUsGY,356,147,720,147
186,0133_ROTGPafTjiw,186,152,602,152
187,0134_d3QK_tShE9Y,97,74,380,74
188,0134_d3QK_tShE9Y,313,133,594,133
189,0135_8E14p4irE5o,70,158,537,158
190,0136_lJoDvLOcfjE,169,122,532,122
191,0137_jv0-vXCZ9E8,101,218,457,218
192,0138_dduTJonEEc4,101,98,374,98
193,0138_dduTJonEEc4,421,135,712,135
194,0139_4Slu9ELtokU,317,131,716,131
195,0140_l02XUqkuX24,149,150,571,150
196,0140_l02XUqkuX24,585,272,947,272
197,0141_-OtccsRRvd0,139,71,652,71
198,0143_G1vqJtTuMSM,399,142,834,142
199,0144_9a0yRDYfJsk,50,77,505,77
200,0145_3Tkma0hPy4w,75,35,547,35
201,0146_uAjxRmF7Rlk,85,80,283,80
202,0146_uAjxRmF7Rlk,258,77,482,77
203,0147_lGoqmCwvxCc,247,91,562,91
204,0148_GWuEw2WeFCY,59,40,422,40
205,0149_sxoA5Z7iX10,258,115,718,115
206,0150_8yB5RnDz6jo,239,58,686,58
207,0151_8qA6XqDaO10,134,106,706,106
208,0152_eOvq1pMGWcs,41,107,467,107
209,0153_uBZYXogzfXg,115,195,428,195
210,0154_6gYf5N7sqIg,313,75,907,75
211,0155_cfBPq0uvW7U,440,515,625,515
212,0155_cfBPq0uvW7U,489,116,939,116
213,0156_0ARfu3wPTgw,172,121,742,121
214,0157_rbQdcnBYFeY,57,25,411,25
215,0158_ZXHTF_YLTrQ,41,73,350,73
216,0158_ZXHTF_YLTrQ,352,217,558,217
217,0159_ize-V3rccXo,310,100,841,100
218,0160_reXOXBxYNR4,109,186,525,186
219,0161_9MpcLMhTHlc,381,239,718,239
220,0162_9DaM2SIT_8c,399,356,627,356
221,0162_9DaM2SIT_8c,592,315,816,315
222,0162_9DaM2SIT_8c,432,167,729,167
223,0163_288vPbTy0u0,113,80,506,80
224,0164_Su-T0kKYeVE,107,39,436,39
225,0165_9KtmIwXCVgI,128,56,477,56
226,0165_9KtmIwXCVgI,379,28,599,28
227,0166_JjEOuNKkeSM,88,51,532,51
228,0167_ar86fn0HI74,142,65,424,65
229,0168_KS5X1XhMVEg,297,123,723,123
230,0169_szeGCrj4SEg,200,135,642,135
231,0170_U_vd1pcXCJU,218,122,724,122
232,0171_C-Bbtx1gNbg,227,184,619,184
233,0172_cjXSZlKPGQ8,117,88,671,88
234,0173_LaU6FGhy4Xk,154,86,747,86
235,0174_P54p6gXurSo,50,173,543,173
236,0175_CuEO8-ifYF8,90,44,516,44
237,0175_CuEO8-ifYF8,477,190,829,190
238,0176_J7Pq7LRCag0,408,125,778,125
239,0177_nZ4tRBXUMxg,152,182,468,182
240,0177_nZ4tRBXUMxg,471,247,703,247
241,0178_x3a9zoo45g8,47,256,243,256
242,0178_x3a9zoo45g8,319,227,557,227
243,0178_x3a9zoo45g8,724,138,1004,138
244,0179_3nRrmxqtZVY,183,152,604,152
245,0180_-yfnJUUvAQ8,147,162,662,162
246,0181_WPxAHfkr5nY,78,103,264,103
247,0181_WPxAHfkr5nY,266,63,481,63
248,0182_g__ZReqasgI,68,130,451,130
249,0182_g__ZReqasgI,422,174,748,174
250,0183_bPr8OpQxM0k,185,114,861,114
251,0184_zAka_CHkSCk,103,54,940,54
252,0185_fa6ehqOAxvU,295,19,828,19
253,0186_8hd4Jt8Z_XU,287,27,792,27
254,0187__pRX2ASfyHE,93,26,486,26
255,0188_Pr029n-3-Kc,177,59,517,59
256,0189_ZaXnvNjLhfs,86,79,398,79
257,0189_ZaXnvNjLhfs,383,161,543,161
258,0190_lX15y40DKqQ,45,160,447,160
259,0190_lX15y40DKqQ,449,181,802,181
260,0191_tTLFM16GZSI,220,163,502,163
261,0192_Y3sa4axnAjU,395,159,835,159
262,0193_qRNNVfmWYT8,172,167,514,167
263,0193_qRNNVfmWYT8,460,295,639,295
264,0194_GD0nHdO4ZVc,48,246,162,246
265,0194_GD0nHdO4ZVc,84,100,267,100
266,0194_GD0nHdO4ZVc,253,136,419,136
267,0194_GD0nHdO4ZVc,257,324,323,324
268,0195_NJGqkrg6iHk,297,175,808,175
269,0094_fGO6un6TzT8,85,382,280,382
270,0094_fGO6un6TzT8,360,352,620,352
271,0094_fGO6un6TzT8,623,365,776,365
272,0094_fGO6un6TzT8,144,229,359,229
