,file,min_x,min_y,max_x,max_y
69,028_-vDPakMKna4,391,311,667,311
70,029_ZksYQQBGVIg,20,63,312,63
71,029_ZksYQQBGVIg,322,34,695,34
72,029_ZksYQQBGVIg,345,326,647,326
73,030_-i6kYqDvBQo,121,144,405,144
74,030_-i6kYqDvBQo,460,214,644,214
75,031_uk4-mPGpINU,81,66,537,66
76,031_uk4-mPGpINU,341,147,553,147
77,031_uk4-mPGpINU,504,174,697,174
78,032_2r2eDI3Hvlc,192,50,542,50
79,032_2r2eDI3Hvlc,33,261,297,261
80,032_2r2eDI3Hvlc,487,221,718,221
81,033_a390RmaelgQ,82,60,432,60
82,033_a390RmaelgQ,442,39,764,39
83,034_Cnyn7hmoUvQ,7,79,337,79
84,034_Cnyn7hmoUvQ,425,149,774,149
85,036_3LF5Y5Y_Q70,83,66,375,66
86,036_3LF5Y5Y_Q70,339,16,747,16
87,036_3LF5Y5Y_Q70,495,277,776,277
88,037_g4q8PTMpBqw,154,160,300,160
89,037_g4q8PTMpBqw,284,152,404,152
90,037_g4q8PTMpBqw,357,70,533,70
91,037_g4q8PTMpBqw,415,172,632,172
92,037_g4q8PTMpBqw,596,302,761,302
93,038_B6UTpjQs0bw,48,234,309,234
94,038_B6UTpjQs0bw,205,111,343,111
95,038_B6UTpjQs0bw,322,28,482,28
96,038_B6UTpjQs0bw,329,230,511,230
97,038_B6UTpjQs0bw,531,140,719,140
98,039_HBBQvJq98TY,59,65,724,65
99,040_1g_auGYdtfU,27,174,199,174
100,040_1g_auGYdtfU,145,40,344,40
101,040_1g_auGYdtfU,340,33,537,33
102,040_1g_auGYdtfU,261,260,559,260
103,040_1g_auGYdtfU,570,155,780,155
104,041_6hQILEaXRtg,60,74,751,74
105,042_qk77X1_g0zM,146,24,651,24
106,043_UPu2ng0N0zI,104,104,487,104
107,044_OfYLoI4FDf4,49,111,757,111
108,045_Rdhi-a07gmw,347,28,522,28
109,045_Rdhi-a07gmw,197,130,354,130
110,045_Rdhi-a07gmw,56,297,324,297
111,045_Rdhi-a07gmw,254,284,465,284
112,045_Rdhi-a07gmw,509,227,716,227
113,046_qQbkLT_P2os,41,141,561,141
114,046_qQbkLT_P2os,331,28,788,28
115,047__bHHefe5kng,139,1,581,1
116,047__bHHefe5kng,1,172,245,172
117,047__bHHefe5kng,272,191,757,191
118,048_iC9glWRw_EM,42,166,203,166
119,048_iC9glWRw_EM,165,63,353,63
120,048_iC9glWRw_EM,367,88,539,88
121,048_iC9glWRw_EM,229,284,548,284
122,048_iC9glWRw_EM,550,209,770,209
123,049_ndkzIjp4CXQ,243,20,547,20
124,049_ndkzIjp4CXQ,33,197,264,197
125,049_ndkzIjp4CXQ,205,214,371,214
126,049_ndkzIjp4CXQ,309,305,526,305
127,049_ndkzIjp4CXQ,462,255,635,255
128,050_4peQ8o3y9-4,77,180,292,180
129,050_4peQ8o3y9-4,233,183,412,183
130,050_4peQ8o3y9-4,296,40,588,40
131,050_4peQ8o3y9-4,478,212,657,212
132,050_4peQ8o3y9-4,514,284,739,284
133,050_4peQ8o3y9-4,340,327,530,327
134,051_6AFRYRgtKzA,43,156,293,156
135,051_6AFRYRgtKzA,240,179,430,179
136,051_6AFRYRgtKzA,325,10,664,10
137,051_6AFRYRgtKzA,505,236,706,236
138,051_6AFRYRgtKzA,318,311,596,311
139,052_z7PpmpKIPU4,37,215,282,215
140,052_z7PpmpKIPU4,189,218,393,218
141,052_z7PpmpKIPU4,257,64,560,64
142,052_z7PpmpKIPU4,452,224,625,224
143,052_z7PpmpKIPU4,515,290,760,290
144,052_z7PpmpKIPU4,330,355,544,355
145,053_MKIISBeGQFg,6,210,247,210
146,053_MKIISBeGQFg,236,164,469,164
147,053_MKIISBeGQFg,220,289,369,289
148,053_MKIISBeGQFg,261,332,415,332
149,053_MKIISBeGQFg,401,288,539,288
150,053_MKIISBeGQFg,480,340,646,340
151,053_MKIISBeGQFg,459,169,616,169
152,053_MKIISBeGQFg,595,177,793,177
153,054_Y60m9y4Jh0g,91,21,770,21
154,055_Cggc3hvlPfg,240,35,586,35
155,055_Cggc3hvlPfg,12,206,277,206
156,055_Cggc3hvlPfg,161,207,388,207
157,055_Cggc3hvlPfg,296,322,546,322
158,055_Cggc3hvlPfg,470,196,669,196
159,055_Cggc3hvlPfg,531,319,768,319
160,056_QSbfoJ9AsZQ,360,22,800,22
161,056_QSbfoJ9AsZQ,1,1,435,1
162,057_n1EFvW3JrYo,4,39,474,39
163,057_n1EFvW3JrYo,374,122,782,122
164,061__er6hwL4Y_M,26,168,211,168
165,061__er6hwL4Y_M,209,166,370,166
166,061__er6hwL4Y_M,138,23,346,23
167,061__er6hwL4Y_M,348,40,521,40
168,061__er6hwL4Y_M,518,83,632,83
169,061__er6hwL4Y_M,364,198,532,198
170,061__er6hwL4Y_M,520,200,679,200
171,062_sffTSxquNA0,1,105,92,105
172,062_sffTSxquNA0,226,86,378,86
173,062_sffTSxquNA0,377,73,496,73
174,062_sffTSxquNA0,646,183,703,183
175,062_sffTSxquNA0,691,138,792,138
176,062_sffTSxquNA0,543,45,714,45
177,062_sffTSxquNA0,349,33,488,33
178,062_sffTSxquNA0,227,54,338,54
179,062_sffTSxquNA0,390,1,565,1
180,062_sffTSxquNA0,339,1,412,1
181,062_sffTSxquNA0,734,49,778,49
182,062_sffTSxquNA0,100,79,156,79
183,062_sffTSxquNA0,570,10,674,10
184,063_Fa4IMCTXq04,37,146,293,146
185,063_Fa4IMCTXq04,307,105,541,105
186,063_Fa4IMCTXq04,269,299,381,299
187,063_Fa4IMCTXq04,374,305,489,305
188,063_Fa4IMCTXq04,537,98,768,98
189,064_9w1MwbTAfS0,193,196,478,196
190,064_9w1MwbTAfS0,202,403,348,403
191,064_9w1MwbTAfS0,331,405,460,405
192,064_9w1MwbTAfS0,491,259,789,259
193,065_ca8G5lwf7CU,315,147,614,147
194,065_ca8G5lwf7CU,314,361,473,361
195,065_ca8G5lwf7CU,454,371,593,371
196,067_9AjDFE60KkU,142,43,608,43
197,068_cWoOH1vgnZw,1,173,136,173
198,068_cWoOH1vgnZw,314,1,594,1
199,068_cWoOH1vgnZw,191,26,629,26
200,069_W-jISbXJon8,132,38,560,38
201,070_bQ4dCaNd0yc,5,124,438,124
202,070_bQ4dCaNd0yc,429,202,610,202
203,070_bQ4dCaNd0yc,603,231,772,231
204,071_DO9010arQN4,29,101,427,101
205,071_DO9010arQN4,304,215,494,215
206,071_DO9010arQN4,492,236,674,236
207,072_qMKO1Y6SWIw,10,151,312,151
208,072_qMKO1Y6SWIw,304,193,553,193
209,072_qMKO1Y6SWIw,317,105,598,105
210,072_qMKO1Y6SWIw,519,183,719,183
211,073_IOmIK6b0R_k,1,200,247,200
212,073_IOmIK6b0R_k,119,99,400,99
213,073_IOmIK6b0R_k,309,16,682,16
214,073_IOmIK6b0R_k,552,183,800,183
215,074_uDRDhDPutYM,85,262,336,262
216,074_uDRDhDPutYM,232,31,723,31
217,075_osC0agHm9UY,1,190,325,190
218,075_osC0agHm9UY,348,272,500,272
219,075_osC0agHm9UY,435,115,798,115
220,076_1fBWF5_cSVg,13,189,347,189
221,076_1fBWF5_cSVg,258,53,549,53
222,076_1fBWF5_cSVg,529,163,784,163
223,076_1fBWF5_cSVg,460,40,697,40
224,077_G_Lqc5PeqMs,30,208,314,208
225,077_G_Lqc5PeqMs,232,105,498,105
226,077_G_Lqc5PeqMs,473,47,765,47
227,077_G_Lqc5PeqMs,449,207,624,207
228,077_G_Lqc5PeqMs,588,201,777,201
229,078_N9Gq5vYv3Qc,22,158,341,158
230,078_N9Gq5vYv3Qc,283,278,509,278
231,078_N9Gq5vYv3Qc,488,268,738,268
232,079_frmnHY27ac4,141,17,615,17
233,080_4ftkfkKrpAc,32,193,287,193
234,080_4ftkfkKrpAc,185,22,463,22
235,080_4ftkfkKrpAc,463,180,719,180
236,081_3Npqj4QlKnw,100,259,345,259
237,081_3Npqj4QlKnw,31,116,254,116
238,081_3Npqj4QlKnw,169,60,344,60
239,081_3Npqj4QlKnw,348,263,506,263
240,081_3Npqj4QlKnw,519,239,782,239
241,082_GAKn8QXsYtY,30,198,203,198
242,082_GAKn8QXsYtY,114,91,302,91
243,082_GAKn8QXsYtY,265,139,442,139
244,082_GAKn8QXsYtY,184,259,352,259
245,082_GAKn8QXsYtY,354,339,479,339
246,082_GAKn8QXsYtY,414,250,554,250
247,082_GAKn8QXsYtY,402,79,583,79
248,082_GAKn8QXsYtY,512,167,690,167
249,083_mx9HfmWGwWo,52,238,341,238
250,083_mx9HfmWGwWo,272,22,646,22
251,083_mx9HfmWGwWo,499,347,729,347
252,084_Kave19cHnuk,68,39,742,39
253,085_WxCR_LKjNMg,33,221,314,221
254,085_WxCR_LKjNMg,241,49,591,49
255,085_WxCR_LKjNMg,501,318,714,318
256,086_LlrNkyjzlUM,33,99,351,99
257,086_LlrNkyjzlUM,185,259,435,259
258,086_LlrNkyjzlUM,424,253,625,253
259,086_LlrNkyjzlUM,557,352,737,352
260,086_LlrNkyjzlUM,409,30,656,30
261,087_S8PN799v2qs,41,182,338,182
262,087_S8PN799v2qs,233,44,585,44
263,087_S8PN799v2qs,475,199,729,199
264,087_S8PN799v2qs,338,347,575,347
265,088_lU5bKesd7RE,169,47,589,47
266,089_x5s42SvaVDA,183,21,606,21
267,089_x5s42SvaVDA,483,183,779,183
268,090_R0e5D4aeTcc,117,88,625,88
269,092_YzaMvFvqkiM,13,176,190,176
270,092_YzaMvFvqkiM,162,157,408,157
271,092_YzaMvFvqkiM,456,142,715,142
272,092_YzaMvFvqkiM,487,324,792,324
273,093_Bz-kiIMN6EA,60,98,497,98
274,093_Bz-kiIMN6EA,431,168,746,168
275,096_u9lKkXBQX90,109,84,586,84
276,096_u9lKkXBQX90,372,492,796,492
277,097_KDPRwpRCosU,204,271,476,271
278,097_KDPRwpRCosU,451,217,670,217
279,097_KDPRwpRCosU,36,322,208,322
280,098_TDMUA-5wc9A,130,137,534,137
281,099_sP5Y2PBI-JQ,380,197,792,197
282,099_sP5Y2PBI-JQ,29,138,387,138
283,099_sP5Y2PBI-JQ,279,4,559,4
284,099_sP5Y2PBI-JQ,1,1,274,1
285,100_BcPhJ4RWl7I,129,149,282,149
286,100_BcPhJ4RWl7I,286,153,437,153
287,100_BcPhJ4RWl7I,366,74,487,74
288,100_BcPhJ4RWl7I,358,272,575,272
289,100_BcPhJ4RWl7I,147,236,351,236
290,101_ocRZyv2hUFg,395,72,705,72
291,101_ocRZyv2hUFg,35,169,421,169
292,102_BV5Swi4Xfjc,99,105,420,105
293,102_BV5Swi4Xfjc,370,9,641,9
294,102_BV5Swi4Xfjc,419,255,648,255
295,103_NGB1TiIcAP0,70,92,664,92
296,104_vkXBV1kUvCg,19,1,366,1
297,105_ZjP8AgYiJIY,135,1,645,1
298,106_Zwo5VffPg80,36,39,608,39
299,106_Zwo5VffPg80,337,1,563,1
300,107_nHRf0ZG2NHs,1,1,700,1
301,109_iG9ICjPhs9U,1,1,403,1
302,109_iG9ICjPhs9U,367,161,597,161
303,109_iG9ICjPhs9U,525,89,795,89
304,110_uDu99Ad0ev8,1,1,710,1
305,111_e0g1s3_-3rM,167,13,424,13
306,111_e0g1s3_-3rM,71,130,290,130
307,111_e0g1s3_-3rM,349,262,535,262
308,111_e0g1s3_-3rM,351,96,558,96
309,111_e0g1s3_-3rM,513,163,654,163
310,111_e0g1s3_-3rM,631,204,761,204
311,112_Q-98asNAtW4,28,223,244,223
312,112_Q-98asNAtW4,116,48,438,48
313,112_Q-98asNAtW4,409,46,745,46
314,112_Q-98asNAtW4,564,207,779,207
315,113_FHu7lNl8FbA,132,24,477,24
316,113_FHu7lNl8FbA,44,239,214,239
317,113_FHu7lNl8FbA,227,319,448,319
318,113_FHu7lNl8FbA,436,104,772,104
319,113_FHu7lNl8FbA,529,328,721,328
320,114_HA5bP5X8BuY,188,2,800,2
321,115_Jd1nw0g-Z5c,94,114,358,114
322,115_Jd1nw0g-Z5c,9,210,238,210
323,115_Jd1nw0g-Z5c,251,214,590,214
324,115_Jd1nw0g-Z5c,308,154,551,154
325,115_Jd1nw0g-Z5c,580,188,777,188
326,119_D_g33HPgXp4,24,82,414,82
327,119_D_g33HPgXp4,490,127,798,127
328,119_D_g33HPgXp4,379,1,800,1
329,119_D_g33HPgXp4,1,1,223,1
330,120_jKaoS53H7gY,213,131,380,131
331,120_jKaoS53H7gY,385,99,687,99
332,120_jKaoS53H7gY,460,356,615,356
333,120_jKaoS53H7gY,243,301,432,301
334,120_jKaoS53H7gY,64,248,292,248
335,121_yYP_idjfBCU,23,70,281,70
336,121_yYP_idjfBCU,124,315,268,315
337,121_yYP_idjfBCU,245,224,427,224
338,121_yYP_idjfBCU,348,324,532,324
339,121_yYP_idjfBCU,462,201,786,201
340,121_yYP_idjfBCU,429,163,643,163
341,122_m2uro2g6mCM,80,132,278,132
342,122_m2uro2g6mCM,37,205,140,205
343,122_m2uro2g6mCM,130,266,250,266
344,122_m2uro2g6mCM,245,334,391,334
345,122_m2uro2g6mCM,325,251,486,251
346,122_m2uro2g6mCM,438,353,556,353
347,122_m2uro2g6mCM,387,173,635,173
348,122_m2uro2g6mCM,577,237,731,237
349,122_m2uro2g6mCM,569,164,711,164
350,122_m2uro2g6mCM,435,140,540,140
351,122_m2uro2g6mCM,294,130,357,130
352,122_m2uro2g6mCM,343,159,440,159
353,122_m2uro2g6mCM,261,170,300,170
354,123_ro3uOuKZj0g,78,159,539,159
355,123_ro3uOuKZj0g,511,175,733,175
356,124_CKOidhx1oZ0,73,110,451,110
357,124_CKOidhx1oZ0,467,199,717,199
358,125_6FOXgpqB4bk,16,84,416,84
359,125_6FOXgpqB4bk,347,366,498,366
360,125_6FOXgpqB4bk,419,149,636,149
361,125_6FOXgpqB4bk,516,347,682,347
362,126_rz7mMpqO6SU,67,131,323,131
363,126_rz7mMpqO6SU,297,193,512,193
364,126_rz7mMpqO6SU,556,219,734,219
365,127_5z4-vDJFDS8,63,137,294,137
366,127_5z4-vDJFDS8,96,312,275,312
367,127_5z4-vDJFDS8,292,100,536,100
368,127_5z4-vDJFDS8,432,346,583,346
369,127_5z4-vDJFDS8,534,207,753,207
370,128_iITC2t8k-ao,48,197,219,197
371,128_iITC2t8k-ao,178,139,467,139
372,128_iITC2t8k-ao,464,22,745,22
373,128_iITC2t8k-ao,172,295,364,295
374,128_iITC2t8k-ao,352,322,488,322
375,128_iITC2t8k-ao,461,325,612,325
376,128_iITC2t8k-ao,606,298,775,298
377,129_E1FD01dZMiw,40,161,285,161
378,129_E1FD01dZMiw,271,89,653,89
379,129_E1FD01dZMiw,202,324,469,324
380,129_E1FD01dZMiw,461,401,618,401
381,129_E1FD01dZMiw,572,271,775,271
382,130_yMTw5BmIIrQ,40,105,311,105
383,130_yMTw5BmIIrQ,364,78,594,78
384,130_yMTw5BmIIrQ,405,283,606,283
385,130_yMTw5BmIIrQ,602,126,777,126
386,131_YrsaHYXAieo,17,221,248,221
387,131_YrsaHYXAieo,157,101,403,101
388,131_YrsaHYXAieo,348,259,493,259
389,131_YrsaHYXAieo,405,77,638,77
390,131_YrsaHYXAieo,503,247,737,247
391,132_UA3dfTBxij0,62,169,245,169
392,132_UA3dfTBxij0,200,46,448,46
393,132_UA3dfTBxij0,353,135,614,135
394,132_UA3dfTBxij0,297,297,511,297
395,132_UA3dfTBxij0,487,266,772,266
396,133_AZcM0VPHmxw,41,184,214,184
397,133_AZcM0VPHmxw,135,273,365,273
398,133_AZcM0VPHmxw,167,86,330,86
399,133_AZcM0VPHmxw,324,104,547,104
400,133_AZcM0VPHmxw,526,195,759,195
401,135_nUw7uxjZBjY,70,84,412,84
402,135_nUw7uxjZBjY,356,192,662,192
403,136_0BHyDNMAF4g,46,121,306,121
404,136_0BHyDNMAF4g,248,48,543,48
405,136_0BHyDNMAF4g,531,122,713,122
406,136_0BHyDNMAF4g,563,215,775,215
407,136_0BHyDNMAF4g,285,365,419,365
408,141_099PmS-9Xww,8,235,298,235
409,141_099PmS-9Xww,216,85,529,85
410,141_099PmS-9Xww,367,302,594,302
411,141_099PmS-9Xww,558,263,791,263
412,142__CoYB82W6Hk,63,179,220,179
413,142__CoYB82W6Hk,173,68,339,68
414,142__CoYB82W6Hk,321,74,525,74
415,142__CoYB82W6Hk,533,170,756,170
416,142__CoYB82W6Hk,187,315,427,315
417,143_7Co1JQt6Zac,131,150,353,150
418,143_7Co1JQt6Zac,36,311,192,311
419,143_7Co1JQt6Zac,282,290,494,290
420,143_7Co1JQt6Zac,357,142,527,142
421,143_7Co1JQt6Zac,537,179,742,179
422,143_7Co1JQt6Zac,474,338,639,338
423,144_G-2kFe88yhQ,74,4,700,4
424,144_G-2kFe88yhQ,730,1,800,1
425,145_-0FNPy1xIeY,242,27,690,27
426,146_odtEFw2MtNM,1,1,472,1
427,146_odtEFw2MtNM,149,74,466,74
428,146_odtEFw2MtNM,362,67,650,67
429,147_eDN4yYIkeAs,409,61,725,61
430,147_eDN4yYIkeAs,115,134,451,134
431,148_Q5sVm9VpCR0,21,27,428,27
432,149_jKYzfsZn2nc,93,149,278,149
433,149_jKYzfsZn2nc,241,177,444,177
434,149_jKYzfsZn2nc,258,52,530,52
435,149_jKYzfsZn2nc,422,212,604,212
436,149_jKYzfsZn2nc,549,265,777,265
437,149_jKYzfsZn2nc,461,123,631,123
438,150_8KCnMy0yEqw,26,163,243,163
439,150_8KCnMy0yEqw,219,123,377,123
440,150_8KCnMy0yEqw,366,87,579,87
441,150_8KCnMy0yEqw,373,248,521,248
442,150_8KCnMy0yEqw,514,231,672,231
443,150_8KCnMy0yEqw,634,272,779,272
444,151_QKzgc9MO9LM,113,103,314,103
445,151_QKzgc9MO9LM,278,172,385,172
446,151_QKzgc9MO9LM,33,335,231,335
447,151_QKzgc9MO9LM,278,308,545,308
448,151_QKzgc9MO9LM,411,101,717,101
449,152_uLPPbLUrAro,102,106,312,106
450,152_uLPPbLUrAro,283,174,380,174
451,152_uLPPbLUrAro,410,101,707,101
452,152_uLPPbLUrAro,279,308,534,308
453,152_uLPPbLUrAro,16,331,246,331
454,158_eoGibawlD-A,156,89,354,89
455,158_eoGibawlD-A,9,190,158,190
456,158_eoGibawlD-A,246,57,439,57
457,158_eoGibawlD-A,354,195,519,195
458,158_eoGibawlD-A,430,162,573,162
459,158_eoGibawlD-A,580,162,793,162
460,158_eoGibawlD-A,480,351,609,351
461,158_eoGibawlD-A,140,267,421,267
462,159_nMO_hMm6V4A,31,209,175,209
463,159_nMO_hMm6V4A,174,108,370,108
464,159_nMO_hMm6V4A,267,77,454,77
465,159_nMO_hMm6V4A,370,219,527,219
466,159_nMO_hMm6V4A,445,187,583,187
467,159_nMO_hMm6V4A,590,192,795,192
468,159_nMO_hMm6V4A,162,285,434,285
469,159_nMO_hMm6V4A,484,379,615,379
470,160_JqC6y7SqSUQ,206,33,728,33
471,161_RDqakBMM2xc,33,154,389,154
472,161_RDqakBMM2xc,333,146,712,146
473,162_19HDdc3YjRs,45,288,223,288
474,162_19HDdc3YjRs,237,229,491,229
475,162_19HDdc3YjRs,466,229,763,229
476,162_19HDdc3YjRs,433,95,673,95
477,163_20_3GXoVR-I,92,50,298,50
478,163_20_3GXoVR-I,105,231,412,231
479,163_20_3GXoVR-I,349,64,647,64
480,163_20_3GXoVR-I,366,235,716,235
481,164_AbNeLVZImI8,14,100,281,100
482,164_AbNeLVZImI8,281,118,532,118
483,164_AbNeLVZImI8,496,127,784,127
484,164_AbNeLVZImI8,272,316,540,316
485,165_NZukKejKNjk,154,41,410,41
486,165_NZukKejKNjk,412,19,705,19
487,165_NZukKejKNjk,251,283,562,283
488,168_HXTJN0ckerI,268,16,564,16
489,168_HXTJN0ckerI,35,329,343,329
490,168_HXTJN0ckerI,37,268,175,268
491,168_HXTJN0ckerI,228,250,358,250
492,168_HXTJN0ckerI,342,263,518,263
493,168_HXTJN0ckerI,472,372,590,372
494,168_HXTJN0ckerI,493,171,640,171
495,168_HXTJN0ckerI,594,159,735,159
496,168_HXTJN0ckerI,580,277,713,277
497,169_qqgFJZ8Zt4g,43,132,220,132
498,169_qqgFJZ8Zt4g,211,178,328,178
499,169_qqgFJZ8Zt4g,329,127,632,127
500,169_qqgFJZ8Zt4g,619,241,770,241
501,170_jBcTcvmFzOA,201,143,425,143
502,170_jBcTcvmFzOA,408,174,587,174
503,171_wN-s2yo8YTs,106,50,403,50
504,171_wN-s2yo8YTs,477,158,661,158
505,172_08sblktmD5w,143,137,373,137
506,172_08sblktmD5w,301,218,447,218
507,172_08sblktmD5w,358,166,697,166
508,173_3MzRD90B7gc,57,238,266,238
509,173_3MzRD90B7gc,183,280,356,280
510,173_3MzRD90B7gc,206,121,404,121
511,173_3MzRD90B7gc,348,192,497,192
512,173_3MzRD90B7gc,480,126,773,126
513,174_L6OxtdaoKfQ,22,127,370,127
514,175_BGcpzY5GwUc,425,76,738,76
515,176_RT_Mwc4NiCc,192,50,626,50
516,177_lhFX6dKenM8,100,4,452,4
517,177_lhFX6dKenM8,305,167,730,167
518,178_Dbtzx21v7-8,67,1,323,1
519,178_Dbtzx21v7-8,218,243,391,243
520,178_Dbtzx21v7-8,438,8,576,8
521,178_Dbtzx21v7-8,401,192,642,192
522,179_jfF8TJ9ZlvU,8,59,298,59
523,179_jfF8TJ9ZlvU,291,149,477,149
524,179_jfF8TJ9ZlvU,431,107,645,107
525,180_eZSp7CXrIps,169,26,425,26
526,180_eZSp7CXrIps,104,229,249,229
527,180_eZSp7CXrIps,452,82,704,82
528,180_eZSp7CXrIps,466,278,759,278
529,180_eZSp7CXrIps,29,93,184,93
530,181_42srgvDitnE,26,97,188,97
531,181_42srgvDitnE,173,30,422,30
532,181_42srgvDitnE,103,225,247,225
533,181_42srgvDitnE,446,82,703,82
534,181_42srgvDitnE,508,281,757,281
535,184_iR7oC00gcis,118,97,375,97
536,184_iR7oC00gcis,22,294,380,294
537,184_iR7oC00gcis,550,256,763,256
538,184_iR7oC00gcis,525,100,674,100
539,184_iR7oC00gcis,404,158,553,158
540,184_iR7oC00gcis,329,64,496,64
541,185_B7uhOxeFyjc,1,1,796,1
542,189_oO59OT88LQw,29,163,409,163
543,189_oO59OT88LQw,419,144,682,144
544,190_qDzeyg_X_Ek,37,68,371,68
545,190_qDzeyg_X_Ek,423,35,710,35
546,191_PQGCrB3DUtU,12,219,362,219
547,191_PQGCrB3DUtU,435,132,777,132
548,192_BzHJpkSY3S8,37,5,795,5
549,193_4lmqybsoM7M,18,118,369,118
550,193_4lmqybsoM7M,338,29,692,29
551,194_T28G7rXl90k,340,105,679,105
552,195_tt42s3sdCeM,107,105,400,105
553,195_tt42s3sdCeM,455,81,730,81
554,196_45lLGE7jhQQ,187,47,448,47
555,196_45lLGE7jhQQ,83,222,336,222
556,196_45lLGE7jhQQ,332,216,619,216
557,196_45lLGE7jhQQ,500,28,747,28
558,197_dhTkcAl_pqI,86,111,357,111
559,197_dhTkcAl_pqI,366,191,509,191
560,197_dhTkcAl_pqI,500,203,679,203
561,198_jLH5F9vATlY,92,241,260,241
562,198_jLH5F9vATlY,240,241,412,241
563,198_jLH5F9vATlY,413,109,687,109
564,199_ZkDNpvlK-JU,116,222,216,222
565,199_ZkDNpvlK-JU,201,212,327,212
566,199_ZkDNpvlK-JU,308,194,478,194
567,199_ZkDNpvlK-JU,431,85,691,85
568,200_lzBLvVEbc88,527,281,740,281
569,200_lzBLvVEbc88,489,71,770,71
570,200_lzBLvVEbc88,295,205,546,205
571,200_lzBLvVEbc88,132,288,289,288
572,200_lzBLvVEbc88,32,321,160,321
573,200_lzBLvVEbc88,163,366,372,366
574,201_gNJ6hT6ZYPA,4,141,252,141
575,201_gNJ6hT6ZYPA,179,69,426,69
576,201_gNJ6hT6ZYPA,246,237,387,237
577,201_gNJ6hT6ZYPA,384,220,494,220
578,201_gNJ6hT6ZYPA,434,156,631,156
579,201_gNJ6hT6ZYPA,552,239,699,239
580,202_b_NiIL4feKE,403,65,696,65
581,203_x1TWCOfqMBo,25,12,578,12
582,204_1yPxEMxH2KM,8,7,795,7
583,205_0z5KDFs-qhE,7,181,319,181
584,205_0z5KDFs-qhE,306,212,585,212
585,205_0z5KDFs-qhE,521,168,800,168
586,206_W3JvSvV8oF8,121,314,286,314
587,206_W3JvSvV8oF8,273,321,492,321
588,210_ofSDYeKXBgg,264,12,657,12
589,210_ofSDYeKXBgg,243,319,460,319
590,211_2k-2vImOD5g,43,143,252,143
